1,2,3,4,5,2,3,2,1,1
2,1,4,0,0,5,1,5,3,0
3,3,0,0,4,3,4,3,2,5
4,5,0,3,2,1,5,2,0,1
5,3,2,0,5,0,2,4,1,2
6,5,2,1,3,3,4,4,0,0
7,4,1,4,0,1,0,5,2,1
8,0,1,0,5,2,4,5,1,5
9,4,3,e,3,0,0,1,1,1
10,2,5,2,4,5,4,3,5,2
11,3,3,3,2,4,2,2,5,3
12,1,4,1,4,3,3,0,3,4
13,0,0,4,0,4,0,1,5,5
14,1,3,5,4,2,5,4,1,4
15,5,1,5,0,5,3,0,4,0
16,3,2,3,1,0,1,3,2,2
17,2,2,2,5,1,5,2,2,2
18,4,5,0,3,2,4,1,4,1
19,0,2,0,1,0,0,5,2,5
20,4,1,4,3,3,4,5,3,1
21,5,2,1,0,1,5,4,2,0
22,3,1,2,0,4,5,2,4,2
23,1,3,4,4,2,5,1,4,0
24,2,0,3,1,5,3,3,5,3
25,4,4,1,1,3,3,4,3,5
26,0,0,5,2,0,2,0,1,5
27,4,0,5,2,1,2,0,5,1
28,2,0,3,4,4,1,2,5,2
29,4,0,5,2,1,2,0,5,1
30,3,3,3,0,5,5,2,1,3
31,0,0,5,2,0,2,0,1,5
32,0,4,1,5,2,4,4,3,1
33,5,3,4,3,3,1,1,4,4
34,3,5,5,4,2,3,2,4,4
35,0,2,4,5,0,0,1,2,5
36,1,1,3,4,3,5,0,3,2
37,0,0,5,2,1,2,0,1,5
38,3,1,3,5,5,0,4,3,0
39,2,0,2,3,4,1,1,4,4
40,3,1,3,0,4,4,4,3,1
41,1,4,1,1,2,2,5,5,3
42,1,3,2,0,5,5,4,1,0
43,5,3,5,1,3,5,3,4,0
44,4,0,4,2,0,4,0,5,2
45,0,2,0,3,1,0,2,2,5
46,0,5,3,5,0,1,5,0,5
47,2,4,0,0,3,3,3,0,4
48,4,0,1,1,4,3,4,5,4
49,5,3,2,4,2,2,2,5,2
50,5,0,5,1,0,5,3,5,0
51,1,2,3,2,1,2,1,1,5
52,2,4,5,5,2,3,2,2,2
53,3,2,5,2,1,1,1,2,1
54,0,3,4,4,3,0,2,0,3
55,3,1,5,5,0,0,0,5,5
56,0,4,0,3,5,1,1,4,3
57,4,5,4,3,4,1,1,0,4
58,4,0,3,3,3,0,0,4,2
59,0,4,0,3,5,1,1,4,3
60,2,5,2,2,2,4,2,3,5
61,4,5,4,3,4,1,1,0,4
62,3,2,5,2,1,1,1,2,1
63,3,1,5,5,0,0,0,5,5
64,0,5,3,5,0,1,5,0,5
